ponto1,ponto2,distancia_normalizada
1,2,0.394857
1,3,0.515948
1,4,0.046172
1,5,0.087606
1,6,0.408306
1,7,0.145033
1,8,0.354056
1,9,0.084299
1,10,0.102554
1,11,0.312702
1,12,0.443351
1,13,0.436568
1,14,0.429511
1,15,0.430668
1,16,0.079973
1,17,0.363367
1,18,0.118619
1,19,0.054632
1,20,0.336774
1,21,0.425355
1,22,0.255691
1,23,0.409870
1,24,0.329306
1,25,0.517049
1,26,0.342631
1,27,0.332527
1,28,0.400753
1,29,0.436893
1,30,0.419636
1,31,0.499858
1,32,0.439649
1,33,0.090793
1,34,0.424184
1,35,0.471019
1,36,0.258730
1,37,0.073490
1,38,0.422169
1,39,0.441907
1,40,0.445271
1,41,0.250922
1,42,0.090007
1,43,0.087606
1,44,0.444472
1,45,0.422169
1,46,0.148902
1,47,0.246925
1,48,0.314063
1,49,0.077261
1,50,0.468144
1,51,0.078176
1,52,0.483820
1,53,0.077261
1,54,0.436079
1,55,0.488643
1,56,0.084299
1,57,0.430833
1,58,0.447182
1,59,0.385938
1,60,0.217550
1,61,0.251488
1,62,0.393415
1,63,0.410563
1,64,0.390696
1,65,0.085968
1,66,0.423177
1,67,0.079973
1,68,0.534219
1,69,0.450822
1,70,0.051965
1,71,0.243739
1,72,0.449401
1,73,0.246060
1,74,0.250922
1,75,0.113099
1,76,0.096852
1,77,0.350221
1,78,0.125603
1,79,0.401461
1,80,0.221756
1,81,0.289822
1,82,0.435590
1,83,0.455838
1,84,0.138003
1,85,0.102554
1,86,0.429511
1,87,0.299943
1,88,0.426689
1,89,0.407261
1,90,0.090007
1,91,0.238135
1,92,0.392692
1,93,0.069515
1,94,0.263628
1,95,0.464945
1,96,0.116198
1,97,0.458481
1,98,0.498006
1,99,0.204761
1,100,0.402875
1,101,0.439326
1,102,0.432972
1,103,0.469205
1,104,0.060789
1,105,0.374158
1,106,0.450980
1,107,0.351639
1,108,0.404459
1,109,0.456773
1,110,0.026658
1,111,0.060789
1,112,0.244903
1,113,0.119811
1,114,0.341801
1,115,0.423345
1,116,0.355857
1,117,0.077261
1,118,0.308354
1,119,0.154522
1,120,0.146010
1,121,0.035765
1,122,0.464486
